merged_scheme_cleaned
Scheme Name (English),State/National,Coverage,Eligibility,State,Eligibility (Bengali),Eligibility (Hindi),Eligibility (Kannada),Eligibility (Marathi),Eligibility (Tamil),Scheme Name (Bengali),Scheme Name (Hindi),Scheme Name (Kannada),Scheme Name (Marathi),Scheme Name (Tamil)
Sehat Wellness Yojana 113,Chandigarh,Free hospitalization and OPD,Women and children,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Suraksha Arogya Abhiyan 114,Meghalaya,"â¹10,000 maternity assistance",Students in govt. institutions,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Jeevan Suraksha Scheme 115,Rajasthan,â¹3 lakh/family/year,Students in govt. institutions,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayushman Health Plan 116,Mizoram,Full healthcare,Unorganized sector workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Kavach Abhiyan 117,Mizoram,â¹1 lakh/family/year,Disabled individuals,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Suraksha Yojana 118,Dadra and Nagar Haveli and Daman and Diu,"â¹10,000 maternity assistance",Low-income families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Aayush Jeevan Mission 119,Karnataka,Free hospitalization and OPD,Below â¹2 lakh annual income,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Nirog Care Program 120,Puducherry,"â¹10,000 maternity assistance",Women and children,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Arogya Wellness Yojana 121,Maharashtra,"â¹25,000 accident coverage",BPL families,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Swasthya Kavach Scheme 122,Delhi,"â¹10,000 maternity assistance",BPL families,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Jan Sehat Abhiyan 123,Rajasthan,â¹3 lakh/family/year,Urban poor,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Ayush Jeevan Yojana 124,Manipur,Full healthcare,Disabled individuals,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Aayushman Kavach Scheme 125,West Bengal,Free hospitalization and OPD,Farmers and agricultural workers,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Kavach Suraksha Yojana 126,Chandigarh,â¹1 lakh/family/year,Women and children,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Swasthya Insurance Scheme 127,Puducherry,Free diagnostics and medicines,All residents,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Jeevan Arogya Abhiyan 128,Ladakh,"â¹10,000 maternity assistance",Women and children,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Arogya Care Program 129,Chhattisgarh,â¹5 lakh/family/year,Tribal communities,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Suraksha Wellness Yojana 130,Tamil Nadu,"â¹50,000/person/year",Tribal communities,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Sehat Suraksha Scheme 131,Meghalaya,â¹1 lakh/family/year,Women and children,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Jeevan Health Plan 132,Goa,Free hospitalization and OPD,Urban poor,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Aayush Sehat Abhiyan 133,Delhi,â¹2 lakh/family/year,Unorganized sector workers,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Nirog Suraksha Yojana 134,Manipur,â¹3 lakh/family/year,Students in govt. institutions,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Swasthya Arogya Scheme 135,Ladakh,Free hospitalization and OPD,Senior citizens above 60,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Aayushman Jan Yojana 136,Andhra Pradesh,â¹1 lakh/family/year,Urban poor,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Kavach Wellness Scheme 137,Arunachal Pradesh,Free hospitalization and OPD,Women and children,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Jeevan Mission 138,Jammu & Kashmir,Free diagnostics and medicines,Disabled individuals,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Arogya Jan Abhiyan 139,Odisha,"â¹10,000 maternity assistance",Urban poor,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Ayush Kavach Plan 140,Tripura,â¹5 lakh/family/year,Disabled individuals,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Jeevan Wellness Scheme 141,Sikkim,â¹5 lakh/family/year,Unorganized sector workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Suraksha Health Plan 142,Ladakh,Free diagnostics and medicines,Farmers and agricultural workers,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Sehat Kavach Scheme 143,Mizoram,â¹3 lakh/family/year,Low-income families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Ayush Nirog Abhiyan 144,Karnataka,"â¹50,000/person/year",Unorganized sector workers,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Nirog Jan Yojana 145,Odisha,"â¹10,000 maternity assistance",Farmers and agricultural workers,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Jan Suraksha Scheme 146,Nagaland,â¹3 lakh/family/year,Urban poor,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Swasthya Health Mission 147,Tripura,â¹5 lakh/family/year,Below â¹2 lakh annual income,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Kavach Jan Abhiyan 148,Chandigarh,Full healthcare,Tribal communities,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Jeevan Ayush Plan 149,Manipur,â¹5 lakh/family/year,Senior citizens above 60,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Aayushman Sehat Yojana 150,Telangana,â¹1 lakh/family/year,Unorganized sector workers,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Arogya Jeevan Mission 151,Delhi,"â¹25,000 accident coverage",Senior citizens above 60,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Suraksha Jan Yojana 152,Chhattisgarh,â¹3 lakh/family/year,Urban poor,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Kavach Abhiyan 153,Maharashtra,"â¹25,000 accident coverage",Unorganized sector workers,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Sehat Health Scheme 154,Uttar Pradesh,"â¹50,000/person/year",Below â¹2 lakh annual income,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Jeevan Nirog Plan 155,Odisha,â¹2 lakh/family/year,Unorganized sector workers,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayush Care Program 156,Bihar,Free hospitalization and OPD,Tribal communities,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Aayush Wellness Scheme 157,Meghalaya,Free hospitalization and OPD,BPL families,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Kavach Health Abhiyan 158,West Bengal,"â¹25,000 accident coverage",Urban poor,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Swasthya Jan Suraksha 159,Karnataka,â¹5 lakh/family/year,Disabled individuals,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Aayush Jeevan Scheme 160,Delhi,Free diagnostics and medicines,Senior citizens above 60,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayushman Kavach Yojana 161,Karnataka,â¹5 lakh/family/year,Low-income families,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Nirog Ayush Yojana 162,Manipur,"â¹10,000 maternity assistance",Farmers and agricultural workers,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Ayush Abhiyan 163,West Bengal,â¹5 lakh/family/year,Senior citizens above 60,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Suraksha Kavach Plan 164,Andaman & Nicobar Islands,"â¹50,000/person/year",Women and children,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Jan Health Mission 165,Karnataka,"â¹25,000 accident coverage",Students in govt. institutions,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Kavach Wellness Abhiyan 166,Rajasthan,â¹3 lakh/family/year,Below â¹2 lakh annual income,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Jeevan Suraksha Yojana 167,Punjab,"â¹10,000 maternity assistance",Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Ayushman Nirog Plan 168,Gujarat,"â¹50,000/person/year",Disabled individuals,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Swasthya Jeevan Yojana 169,Andaman & Nicobar Islands,"â¹10,000 maternity assistance",Farmers and agricultural workers,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Sehat Ayush Scheme 170,Madhya Pradesh,â¹1 lakh/family/year,Tribal communities,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Arogya Nirog Abhiyan 171,Nagaland,â¹1 lakh/family/year,BPL families,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Aayush Jan Wellness 172,Meghalaya,â¹2 lakh/family/year,All residents,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Kavach Arogya Plan 173,Tamil Nadu,"â¹10,000 maternity assistance",BPL families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Suraksha Health Scheme 174,Maharashtra,Full healthcare,Farmers and agricultural workers,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Swasthya Jeevan Abhiyan 175,Uttar Pradesh,â¹1 lakh/family/year,Tribal communities,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayushman Wellness Yojana 176,Tripura,â¹1 lakh/family/year,Farmers and agricultural workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Jan Arogya Health Plan 177,Madhya Pradesh,Full healthcare,Farmers and agricultural workers,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Jeevan Suraksha Mission 178,Himachal Pradesh,â¹3 lakh/family/year,Senior citizens above 60,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Swasthya Nirog Scheme 179,Telangana,"â¹50,000/person/year",Students in govt. institutions,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Kavach Jan Yojana 180,Andaman & Nicobar Islands,â¹3 lakh/family/year,Disabled individuals,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Aayushman Health Abhiyan 181,West Bengal,â¹2 lakh/family/year,Disabled individuals,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Ayush Sehat Scheme 182,Mizoram,Free diagnostics and medicines,Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Suraksha Care Mission 183,West Bengal,"â¹25,000 accident coverage",Low-income families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Swasthya Jan Kavach 184,Tamil Nadu,â¹3 lakh/family/year,Unorganized sector workers,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Jeevan Health Mission 185,West Bengal,â¹5 lakh/family/year,Tribal communities,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Arogya Suraksha Abhiyan 186,Chhattisgarh,â¹5 lakh/family/year,Farmers and agricultural workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Wellness Aayush Scheme 187,Odisha,"â¹10,000 maternity assistance",All residents,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Kavach Sehat Yojana 188,Odisha,â¹5 lakh/family/year,Below â¹2 lakh annual income,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Nirog Kavach Plan 189,Maharashtra,"â¹25,000 accident coverage",Students in govt. institutions,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Jeevan Jan Abhiyan 190,Tamil Nadu,"â¹50,000/person/year",Students in govt. institutions,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayush Jeevan Care Plan 191,Jammu & Kashmir,Free hospitalization and OPD,Low-income families,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Aayushman Care Yojana 192,Bihar,Free hospitalization and OPD,Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Suraksha Plan 193,Puducherry,â¹2 lakh/family/year,All residents,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Jan Jeevan Mission 194,Delhi,Full healthcare,Students in govt. institutions,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Ayush Kavach Abhiyan 195,Odisha,Free diagnostics and medicines,Students in govt. institutions,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Wellness Jeevan Yojana 196,Tripura,"â¹50,000/person/year",Students in govt. institutions,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Arogya Kavach Scheme 197,Rajasthan,Free hospitalization and OPD,Farmers and agricultural workers,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Care Yojana 198,Himachal Pradesh,Free diagnostics and medicines,Tribal communities,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Ayush Jan Health Plan 199,Andhra Pradesh,Free diagnostics and medicines,Low-income families,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Sehat Care Program 200,Gujarat,"â¹25,000 accident coverage",Students in govt. institutions,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Aayush Jeevan Kavach 201,Rajasthan,"â¹50,000/person/year",Students in govt. institutions,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Jeevan Kavach Scheme 202,Manipur,"â¹50,000/person/year",Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Wellness Suraksha Abhiyan 203,Telangana,Full healthcare,Senior citizens above 60,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Nirog Sehat Plan 204,Uttar Pradesh,"â¹25,000 accident coverage",Urban poor,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Swasthya Jan Mission 205,Puducherry,â¹1 lakh/family/year,Disabled individuals,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Arogya Jeevan Scheme 206,Delhi,"â¹25,000 accident coverage",Urban poor,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Ayush Health Abhiyan 207,Tripura,â¹2 lakh/family/year,All residents,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Swasthya Kavach Yojana 208,Gujarat,Free hospitalization and OPD,Unorganized sector workers,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Jeevan Nirog Mission 209,Delhi,â¹5 lakh/family/year,Tribal communities,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Ayushman Suraksha Yojana 210,Gujarat,Free diagnostics and medicines,All residents,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Aayushman Health Scheme 211,Haryana,Full healthcare,Tribal communities,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Sehat Jan Kavach 212,Telangana,"â¹25,000 accident coverage",Farmers and agricultural workers,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Ayush Suraksha Mission 213,Bihar,â¹2 lakh/family/year,BPL families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Jan Sehat Scheme 214,Puducherry,â¹5 lakh/family/year,Low-income families,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Wellness Arogya Plan 215,Jammu & Kashmir,â¹2 lakh/family/year,All residents,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Ayushman Kavach Abhiyan 216,Jammu & Kashmir,â¹2 lakh/family/year,Unorganized sector workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Aayush Jeevan Health Plan 217,Nagaland,"â¹25,000 accident coverage",Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Kavach Aayush Yojana 218,Goa,"â¹25,000 accident coverage",Below â¹2 lakh annual income,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Jeevan Suraksha Abhiyan 219,West Bengal,â¹2 lakh/family/year,Farmers and agricultural workers,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Swasthya Kavach Health Plan 220,Madhya Pradesh,"â¹10,000 maternity assistance",Disabled individuals,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Jan Nirog Yojana 221,Chhattisgarh,Full healthcare,Farmers and agricultural workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Arogya Kavach Abhiyan 222,Chandigarh,Full healthcare,Students in govt. institutions,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Wellness Sehat Yojana 223,Karnataka,Full healthcare,BPL families,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Aayushman Kavach Yojana 224,Odisha,â¹2 lakh/family/year,Disabled individuals,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Ayush Jeevan Suraksha 225,Nagaland,â¹5 lakh/family/year,Disabled individuals,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Swasthya Nirog Abhiyan 226,Chhattisgarh,â¹5 lakh/family/year,All residents,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
Jan Kavach Mission 227,Odisha,"â¹50,000/person/year",Disabled individuals,Tamil Nadu,,,,,தாழ்த்தப்பட்ட வருமானக் குழுக்களுக்கு,,,,,முதல்வரின் சுகாதார திட்டம்
Wellness Kavach Yojana 228,Rajasthan,Full healthcare,Urban poor,West Bengal,কম আয়ের পরিবারের জন্য,,,,,মুখ্যমন্ত্রীর স্বাস্থ্য যোজনা,,,,
Sehat Suraksha Yojana 229,Sikkim,Free diagnostics and medicines,Disabled individuals,Karnataka,,,ಹೆಚ್ಚಿನ ಪಿಂಚಣಿ ಹೊಂದಿದವರಿಗೆ,,,,,ಮುಖ್ಯಮಂತ್ರಿ ಆರೋಗ್ಯ ಯೋಜನೆ,,
Ayush Jeevan Jan Plan 230,Puducherry,"â¹50,000/person/year",Low-income families,Uttar Pradesh,,गरीब परिवारों के लिए,,,,,मुख्यमंत्री स्वास्थ्य योजना,,,
Nirog Suraksha Abhiyan 231,Jharkhand,"â¹25,000 accident coverage",Farmers and agricultural workers,Maharashtra,,,,बचत गटातील सदस्य व कुटुंबांसाठी,,,,,मुख्यमंत्री आरोग्य योजना,
